Athlete, Sport, Country
Michael Phelps,Swimming,United States
Katie Ledecky,Swimming,United States
Katinka HosszúK,Swimming,Hungary
Ryan Murphy,Swimming,United States
Simone Biles,Gymnastics,United States
Simone Manuel,Swimming,United States
Madeline Dirado,Swimming,United States
Nathan Adrian,Swimming,United States
Max Whitlock,Gymnastics,Great Britain
Anthony Ervin,Swimming,United States
Caeleb Dressel, Swimming, United States
Ku Bon-chan,Archery,South Korea
Chang Hye-jin,Archery,South Korea
Jason Kenny,Cycling track,Great Britain
Lilly King,Swimming,United States
Kōhei Uchimura,Gymnastics,Japan
Yana Egorian,Fencing,Russia
Shi Tingmao,Diving,China
Niccolò Campriani,Shooting,Italy
Emma McKeon,Swimming,Australia
Penny Oleksiak,Swimming,Canada
